shortlist_rank,research_rank,asset_id,ticker,company_name,exchange,cik,experimental_score,score_bucket_38k,shortlist_bucket,candidate_matrix_status,evidence_level,inclusion_reason,positive_drivers,risk_drivers,evidence_summary,research_explanation,next_research_steps,recommendation_generated,financial_advice,broker_actions_allowed,phase9c_authorized,phase
29,29,U00288,ATRC,"AtriCure, Inc. - Common Stock",NASDAQ,0001323885,73.2182,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 29 with experimental score 73.2182.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 29 and experimental score 73.2182. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: large 12m drawdown. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
30,30,U00629,CINF,Cincinnati Financial Corporation - Common Stock,NASDAQ,0000020286,72.6654,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 30 with experimental score 72.6654.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 30 and experimental score 72.6654. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
31,31,U00139,ALKS,Alkermes plc - Ordinary Shares,NASDAQ,0001520262,72.3619,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 31 with experimental score 72.3619.,positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 31 and experimental score 72.3619. Positive tracked drivers: positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
32,32,U00297,AUPH,Aurinia Pharmaceuticals Inc - Common Shares,NASDAQ,0001600620,72.1181,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 32 with experimental score 72.1181.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 32 and experimental score 72.1181. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
33,33,U00065,ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,0001468328,72.0959,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 33 with experimental score 72.0959.,positive revenue growth; positive profitability/FCF signal; positive price trend,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 33 and experimental score 72.0959. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
34,34,U00056,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,0000006281,72.0344,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 34 with experimental score 72.0344.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 34 and experimental score 72.0344. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
35,35,U00371,BELFA,Bel Fuse Inc. - Class A Common Stock,NASDAQ,0000729580,71.7833,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 35 with experimental score 71.7833.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 35 and experimental score 71.7833. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
36,36,U00504,CACC,Credit Acceptance Corporation - Common Stock,NASDAQ,0000885550,71.6566,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 36 with experimental score 71.6566.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 36 and experimental score 71.6566. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
37,37,U00037,ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,0000935036,71.4922,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 37 with experimental score 71.4922.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 37 and experimental score 71.4922. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
38,38,U00046,ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,0001823529,70.4833,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 38 with experimental score 70.4833.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 38 and experimental score 70.4833. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
39,39,U00185,ANAB,"AnaptysBio, Inc. - Common Stock",NASDAQ,0001370053,69.9416,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 39 with experimental score 69.9416.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 39 and experimental score 69.9416. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: high 6m volatility. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
40,40,U00015,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,0000318306,69.7492,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 40 with experimental score 69.7492.,positive revenue growth; positive profitability/FCF signal,large 12m drawdown,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 40 and experimental score 69.7492. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal. Risk checks: large 12m drawdown. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
41,41,U00053,ADBE,Adobe Inc. - Common Stock,NASDAQ,0000796343,69.2471,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 41 with experimental score 69.2471.,positive revenue growth; positive profitability/FCF signal,large 12m drawdown; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 41 and experimental score 69.2471. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal. Risk checks: large 12m drawdown; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
42,42,U00047,ACTG,Acacia Research Corporation - Common Stock,NASDAQ,0000934549,69.1806,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 42 with experimental score 69.1806.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 42 and experimental score 69.1806. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
43,43,U00634,CIVB,"Civista Bancshares, Inc. - Common Stock",NASDAQ,0000944745,68.5482,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 43 with experimental score 68.5482.,positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 43 and experimental score 68.5482. Positive tracked drivers: positive profitability/FCF signal; positive 12m momentum. Risk checks: balance-sheet risk flag. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
44,44,U00520,CARG,"CarGurus, Inc. - Class A Common Stock",NASDAQ,0001494259,68.4704,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 44 with experimental score 68.4704.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 44 and experimental score 68.4704. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
45,45,U00017,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,0001559720,68.0244,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 45 with experimental score 68.0244.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 45 and experimental score 68.0244. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
46,46,U00513,CAMT,Camtek Ltd. - Ordinary Shares,NASDAQ,0001109138,67.7254,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 46 with experimental score 67.7254.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 46 and experimental score 67.7254. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: large 12m drawdown; high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
47,47,U00119,AIRT,"Air T, Inc. - Common Stock",NASDAQ,0000353184,67.7223,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 47 with experimental score 67.7223.,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag; high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 47 and experimental score 67.7223. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum. Risk checks: balance-sheet risk flag; high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
48,48,U00653,CLSK,"CleanSpark, Inc. - Common Stock",NASDAQ,0000827876,67.2035,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 48 with experimental score 67.2035.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 48 and experimental score 67.2035. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: large 12m drawdown; high 6m volatility; risk/liquidity component below 55. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
49,49,U00191,ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",NASDAQ,0001023024,66.8739,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 49 with experimental score 66.8739.,positive revenue growth; positive profitability/FCF signal,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 49 and experimental score 66.8739. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
50,50,U00398,BJRI,"BJ's Restaurants, Inc. - Common Stock",NASDAQ,0001013488,66.8042,INVESTIGATE_MEDIUM,SHORTLIST_MEDIUM_PRIORITY,CANDIDATE_MATRIX_READY,high,Medium-priority research candidate from v2.38K technical rank 50 with experimental score 66.8042.,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,no dominant risk flag in tracked fields,Evidence level high; candidate status CANDIDATE_MATRIX_READY; derived only from local v2.38J/v2.38K artifacts.,"This is a shortlist_medium_priority research shortlist item because its complete local evidence row received v2.38K technical rank 50 and experimental score 66.8042. Positive tracked drivers: positive revenue growth; positive profitability/FCF signal; positive 12m momentum. Risk checks: no dominant risk flag in tracked fields. This output is only a research prioritization aid and needs human review of business model, valuation, filings, sector context and upcoming macro/geopolitical phase data.",Review latest SEC filings; inspect revenue quality and cash conversion; compare valuation manually; check sector news and macro/geopolitical exposure in the next phase.,false,false,false,false,v2.38L-us-explained-shortlist
